简化字与繁体字对照表,,,,,,,,,,,,,,,,,,,,,,,,
A,爱,愛,碍,礙,袄,襖,,,,,,,,,,,,,,,,,,
B,罢,罷,摆,擺,办,辦,板,闆,办,辦,帮,幫,宝,寶,报,報,备,備,笔,筆,币,幣,,
,毕,畢,毙,斃,边,邊,变,變,标,標,表,錶,别,彆,宾,賓,卜,蔔,补,補,编,編,,
,惫,憊,逼,偪,闭,閉,遍,徧,,,,,,,,,,,,,,,,
C,才,纔,参,參,惨,慘,蚕,蠶,仓,倉,层,層,产,產,搀,攙,谗,讒,馋,饞,尝,嘗,,
,偿,償,厂,廠,长,長,彻,徹,陈,陳,尘,塵,衬,襯,称,稱,惩,懲,迟,遲,齿,齒,,
,冲,遲,虫,蟲,丑,醜,出,齣,础,礎,处,處,触,觸,筹,籌,辞,辭,聪,聰,丛,叢,,
,从,從,疮,瘡,创,創,窜,竄,采,採,,,,,,,,,,,,,,
D,达,達,带,帶,担,擔,胆,膽,单,單,当,當,档,檔,党,黨,导,導,灯,燈,邓,鄧,,
,敌,敵,籴,糴,递,遞,淀,澱,点,點,电,電,垫,墊,冬,鼕,东,東,冻,凍,栋,棟,,
,动,動,斗,鬬,独,獨,断,斷,对,對,队,隊,吨,噸,夺,奪,堕,墮,岛,島,,,,
E,恶,惡,尔,爾,儿,兒,,,,,,,,,,,,,,,,,,
F,发,發,范,範,矾,礬,飞,飛,奋,奮,粪,糞,坟,墳,丰,豐,风,風,凤,鳳,妇,婦,,
,复,復,麸,麩,肤,膚,,,,,,,,,,,,,,,,,,
G,盖,蓋,干,乾,赶,趕,个,個,巩,鞏,沟,溝,构,構,购,購,谷,穀,顾,顧,刮,颳,,
,关,關,观,觀,广,廣,归,歸,龟,龜,柜,櫃,过,過,国,國,购,購,,,,,,
H,汉,漢,号,號,轰,轟,后,後,护,護,壶,壺,沪,滬,画,畫,划,劃,华,華,怀,懷,,
,坏,壞,欢,歡,环,環,还,還,回,迴,会,會,秽,穢,汇,匯,伙,夥,获,獲,胡,鬍,,
J,几,幾,机,機,击,擊,际,際,剂,劑,济,濟,挤,擠,积,積,饥,饑,鸡,鷄,极,極,,
,继,繼,家,傢,价,價,夹,夾,艰,艱,荐,薦,坚,堅,歼,殲,监,監,茧,繭,舰,艦,,
,鉴,鑒,鉴,鑑,拣,揀,姜,薑,将,將,奖,奬,浆,漿,桨,槳,酱,醬,讲,講,胶,膠,,
,借,藉,阶,階,节,節,疖,癤,洁,潔,尽,盡,紧,緊,仅,僅,进,進,烬,燼,惊,驚,,
,竞,競,旧,舊,举,舉,剧,劇,据,據,惧,懼,卷,捲,觉,覺,决,決,经,經,检,檢,,
,诫,誡,间,間,,,,,,,,,,,,,,,,,,,,
K,开,開,克,剋,垦,墾,恳,懇,夸,誇,块,塊,矿,礦,亏,虧,困,睏,扩,擴,,,,
L,腊,臘,蜡,蠟,来,來,兰,蘭,拦,攔,栏,欄,烂,爛,劳,勞,痨,癆,乐,樂,类,類,,
,累,纍,垒,壘,里,裏,礼,禮,丽,麗,厉,厲,励,勵,离,離,历,歷,隶,隸,俩,倆,,
,帘,簾,联,聯,恋,戀,怜,憐,炼,煉,练,練,粮,糧,两,兩,辆,輛,了,瞭,疗,療,,
,辽,遼,猎,獵,临,臨,邻,鄰,灵,靈,龄,齡,岭,嶺,刘,劉,浏,瀏,龙,龍,楼,樓,,
,娄,婁,录,錄,陆,陸,虏,虜,卤,鹵,卢,盧,庐,廬,泸,瀘,芦,蘆,炉,爐,乱,亂,,
,罗,羅,屡,屢,虑,慮,滤,濾,驴,驢,绿,綠,,,,,,,,,,,,
M,迈,邁,买,買,卖,賣,麦,麥,蛮,蠻,么,麽,霉,黴,蒙,矇,梦,夢,弥,彌,面,麵,,
,庙,廟,灭,滅,蔑,衊,亩,畝,门,門,,,,,,,,,,,,,,
N,难,難,恼,惱,脑,腦,拟,擬,酿,釀,镊,鑷,宁,寧,农,農,,,,,,,,
O,欧,歐,,,,,,,,,,,,,,,,,,,,,,
P,盘,盤,辟,闢,苹,蘋,凭,憑,扑,撲,仆,僕,朴,樸,,,,,,,,,,
Q,齐,齊 ,气,氣,启,啓,岂,豈,千,韆,迁,遷,签,籤,牵,牽,墙,墻,蔷,薔,枪,槍,,
,乔,喬,侨,僑,壳,殼,窍,纖,窃,竊,亲,親,寝,寢,庆,慶,穷,窮,琼,瓊,秋,鞦,,
,区,區,趋,趨,秋,鞦,曲,麯,权,權,劝,勸,确,確,,,,,,,,,,
R,让,讓,扰,擾,热,熱,认,認,荣,榮,,,,,,,,,,,,,,
S,洒,灑,伞,傘,丧,喪,扫,掃,啬,嗇,杀,殺,晒,曬,伤,傷,舍,捨,摄,攝,沈,瀋,,
,审,審,渗,滲,声,聲,胜,勝,圣,聖,绳,繩,湿,濕,适,適,时,時,实,實,势,勢,,
,师,帥,寿,壽,兽,獸,数,數,书,書,术,術,树,樹,帅,帥,双,雙,松,鬆,苏,蘇,,
,肃,肅,虽,雖,随,隨,岁,歲,孙,孫,饰,飾,识,識,损,損,属,屬,,,,,,
T,态,態,台,臺,摊,攤,滩,灘,瘫,癱,坛,壇,叹,嘆,誊,謄,体,體,条,條,粜,糶,,
,铁,鐵,听,聽,厅,廳,头,頭,图,圖,涂,塗,团,團,椭,橢,填,塡,,,,,,
W,袜,襪,洼,窪,万,萬,弯,彎,网,網,为,為,伪,偽,韦,韋,卫,衛,稳,穩,务,務,,
,无,無,雾,霧,围,圍,,,,,,,,,,,,,,,,,,
X,牺,犧,系,係,戏,戲,习,習,虾,蝦,吓,嚇,献,獻,咸,鹹,显,顯,宪,憲,县,縣,,
,响,響,向,嚮,乡,鄉,协,協,写,寫,胁,脅,亵,褻,衅,釁,兴,興,选,選,旋,鏇,,
,悬,懸,学,學,寻,尋,逊,遜,须,鬚,险,險,线,線,项,項,,,,,,,,
Y,压,壓,亚,亞,哑,啞,艳,艷,严,嚴,盐,鹽,厌,厭,阳,陽,养,養,样,樣,痒,癢,,
,尧,堯,钥,鑰,药,藥,爷,爺,叶,葉,业,業 ,医,醫,亿,億,义,義,艺,藝,仪,儀,,
,忆,憶,隐,隱,阴,陰,蝇,蠅,应,應,营,營,拥,擁,佣,傭,踊,踴,痈,癰,优,優,,
,忧,憂,犹,猶,邮,郵,余,餘,御,禦,吁,籲,郁,鬱,与,與,誉,譽,屿,嶼,远,遠,,
,园,園,愿,願,渊,淵,跃,躍,云,雲,运,運,酝,醖,验,驗,异,異,于,於,,,,
Z,杂,雜,赃,贜,脏,臟,灶,竈,凿,鑿,枣,棘,斋,齋,战,戰,毡,氈,赵,趙,这,這,,
,折,摺,征,徵,症,癥,证,證,郑,鄭,只,隻,帜,幟,职,職,致,衹,制,製,执,執,,
,滞,滯,质,質,种,種,众,衆,钟,鐘,肿,腫,昼,晝,朱,硃,嘱,囑,烛,燭,筑,築,,
,专,專,庄,莊,壮,壯,装,裝,妆,妝,状,狀,桩,樁,准,準,浊,濁,总,總,纵,縱,,
,钻,鑽,责,責,总,總,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
